"SCQ_1","SCQ_2i","SCQ_3","SCQ_4","SCQ_5","SCQ_6","SCQ_7","SCQ_8","SCQ_9","SCQ_10","SCQ_11","SCQ_12","SCQ_13","SCQ_14","SCQ_15","SCQ_16","SCQ_17","SCQ_18","SCQ_19i","SCQ_20","SCQ_21","SCQ_22i","SCQ_23","SCQ_24","SCQ_25","SCQ_26","SCQ_27","SCQ_28","SCQ_29","SCQ_30","SCQ_31","SCQ_32","SCQ_33","SCQ_34","SCQ_35","SCQ_36","SCQ_37i","SCQ_38","SCQ_39","SCQ_40","SCQ_41i","SCQ_42","SCQ_43","SCQ_44","SCQ_45","SCQ_46","SCQ_47","SCQ_48","SCQ_49","GHA1","GHA2","GHA3","PEB_M1_1","PEB_M1_2","PEB_M1_3","PEB_M1_4","PEB_M1_5","PEB_M1_6","PEB_M1_7","PEB_M1_8","PEB_M1_9","PEB_M2_1","PEB_M2_2","PEB_M2_3","PEB_M2_4","PEB_M2_5","PEB_M2_6","PEB_M3_1","PEB_M3_2","PEB_M3_3","PEB_M4_1","PEB_M4_2","SOD_1","SOD_2","SOD_3","SOD_4","SOD_5","SOD_6","SOD_7","SOD_8","SOD_9","SOD_10","SOD_11","SOD_12","SOD_13","SOD_14","SOD_15","SOD_16","IRI_1","IRI_2","IRI_3","IRI_4","IRI_5","IRI_6","IRI_7","TIPI_1","TIPI_2","TIPI_3","TIPI_4","TIPI_5","TIPI_6","TIPI_7","TIPI_8","TIPI_9","TIPI_10","GCS_1","GCS_2","GCS_3","GCS_4","GCS_5","Impact_knowledge_1","Impact_knowledge_2","Impact_knowledge_3","Impact_knowledge_4","Impact_knowledge_5","Impact_knowledge_6","Impact_knowledge_7","Impact_knowledge_8","Impact_knowledge_9","Impact_knowledge_10","Impact_knowledge_11","Impact_knowledge_12","Impact_knowledge_13"
5,5,4.86494945817845,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,2,5,4.27005620228103,3,4,4.12627810094503,4,5,4,2,5,2,5,2,2,3,4,1,1,1,1,1,5,3,3,6,1,1,1,2,2,2,2,6,6,5,7,7,1,1,3,3,3,5,5,2,3,5,5,5,5,6,5,5,5,5,4,4,4,3,2,2,2,3,5,5,5,5,3,4,5,3,5,3,2,3,2,2,"3","3","3","3","2","3","3","3","1",NA,"3","3","3"
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,3,4,3,4,3,3,3,3,3,3,3,4,4,4,3,2,4,3,4,3,3,4,3,2,3,2,3,3,5,3,4,4,3,3,4,4,5,3,4,5,5,6,4,6,1,1,3,2,3,3,4,3,3,4,5,5,5,5,5,4,5,5,3,4,3,4,2,3,2,3,4,3,5,4,5,5,5,4,5,3,1,3,2,3,"2","2","3","3","3","3","3","3","3","3","3","3","2"
4,5,5,5,5,5,4,5,4,4,4,5,5,5,5,4,4,4,4,5,5,4,5,4,5,4,4,5,4,5,4,5,3,5,4,3,5,5,5,4,4,1,4,5,5,3,4,4,4,1,1,1,4,1,5,4,5,7,3,4,4,3,7.794140533862,3,2.58704177245791,7,3,7,3,3,1,1,5,2,6,2,7,5,4,5,6,6,7,6,6,5,6,6,3,4,5,4,2,2,2,3,4,5,3,6,5,5,2,5,4,2,2,2,3,3,"3","2","3","3","2","3","3","3","3","2","3","3","3"
5,5,4,4,4,5,4,4,5,5,5,5,5,4,4,5,5,4,5,4,5,4,5,4,4,4,5,4,4,4,4,4,4,5,4,3,4,4,5,5,3,3,3,3,4,3,2,4,4,2,2,2,5,2,4,4,5,4,5,7,6,1,6,5,5,5,5,6,4,5,7,1,4,1,3,2,4,3,2,4,5,6,5,5,6,6,5,5,4,4,4,3,2,2,2,1,4,3,7,5,7,4,6,2,7,4,1,3,2,3,"3","3","3","3","3","3","3","3","1","2","3","3","1"
3,4,4,3,4,4,4,5,3,4,4,4,3,3,4,4,3,5,3,3,4,4,5,4,4,3,4,4,4,4,3,3,3,3,4,3,5,5,4,3.20240904499816,3,2.79183227875279,3,3,4,3,2,4,4,2,2,2,1,1,3,3,5,5,5,1,5,6,3.16859727649844,5,7,6,7,7,1.15990804284214,2,1,1,2,4,4,4,5,2,3,4,5,4,6,5,4,5,5,6,3,4,4,4,2,2,2,5,4,6,3,6,3,4,2,6,1,1,3,2,3,3,"3","3","3","3","3","3","3","3","1","3","3","3","1"
4,3,3,4,3,4,2,4,2,4,3,3,4,3,3,4,4,5,4,4,3,4,3,3,3,1,3,2,2,4,2,4,3,5,4,2,5,4,4,4,2,1,4,1,4,2,2,2,4,1,2,2,5,1,4,1,1,4,1,2,5,5.80563964771365,4.24482885771239,7.46718290136496,5.92728773560539,4.40751842642325,6.07970151265314,6,6,1,1,1,4,5,4,5,5,5,5,5,4,5,4,4,3,4,1,4,2,2,4,3,4,4,4,5,1,6,1,3,4,5,4,5,4,3,1,3,2,3,"3","3","3","3","2","3","3","3","1","2","3","3","1"
4,4,5,4.96376685946065,4,5,5,4,4,5,4,5.83834965030924,4,4,4,5,5,4.23130290166099,3,5,4,4,5,4,4,4,5,5,5,5,3,2,5,4,4,3,3,4,3,5,4,1,4,2,5,2,2,3,4,3,2,3,1,1,6,3,6,5,1,1,5,3.64769598614442,7.44606435578796,-0.552416843599047,5.26284992507791,8.51704678356122,7.64381208282187,7,4.52858465981435,5,1,1,4,4,5,4,5,5,4,3,5,4,6,6,5,2,3,5,2,4,4,3,2,1,1,2,4,4,6,3,5,4,5,3,5,3,1,2,2,2,"3","3","3","3","3","3","3","3","1",NA,"3","3","1"
1,2,2,4,3,3,3,1,3,4,2,2,4,2,2,3,1,2,2,3,2,2,3,4,1,3,3,4,4,1,2,2,1,4,2,1,3,3,1,2,2,1,4,1,4,1,4,2,4,4,4,4,1,1,1,5,1,2,3,1,1,1,1,6,1,1,1,7,-6.33125964504474,1,1,1,5,5,6,5,1,5,6,2,1,1,5,2,2,1,2,2,2,2,2,2,4,4,4,1,2,2,3,2,6,2,5,3,6,3,2,4,1,1,"3","2","3","3","2","2","2","3","1","2","2","2","1"
4,1,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,2,5,4,5,5,5,5,3,4,4,5,2,4,4,4,5,3,3,5,3,5,4,3,5,5,1,2,1,1,1,3,3,3,5,4,4,1,1.56381493043787,3.11734117922436,-0.37480829440648,11.8685470617854,6.85799023116829,8.50601559857576,7,-4.38964810022981,3,1,1,1,1,2,2,6,1,2,2,6,6,7,7,7,7,6,7,4,4,4,4,1,1,2,3,5,5,5,6,3,5,3,4,4,3,3,2,3,3,"3","3","3","3",NA,"3","3","3","1","2","3","3","1"
5,5,5,5,5,5,5,5,3,5,5,5,4,5,5,4,5,4,5,4,4,5,5,4,4,4,4,5,5,5,5,4,5,5,4,4,4,5,5,4,4,2,5,3,5,3,2,4,3,1,1,1,1,1,5,4,5,6,1,1,1,7.32609876101614,4.50552331149182,0.257673722160661,2.4325411539214,7.02873456392039,5.33703501766546,7,7,6,1,1,3,3,5,1,4,1,1,4,4,4,4,4,4,5,2,5,3,4,4,4,2,2,2,4,2,4,4,4,5,5,4,5,3,3,2,2,2,2,"3","3","3","3","3","3","3","3","1","3","3","3","1"
4,4,3,4,4,4,4,1,4,3,4,4,5,4,5,2,2,4,3,3,4,3,3,4,3,1,3,4,2,4,3,3,4,1,3,2,2,2,2,4,2,2,5,1,5,2,2,1,1,3,3,3,1,1,1,6,1,3,1,6,1,1.54518410694055,0.00456453138469159,-1.84198813149951,3.50894259562178,6.39699711656971,3.95353216198651,7,6.94579118615967,1,1,1,2,5,5,6,2,4,3,4,5,5,6,5,2,2,2,5,4,4,2,4,4,2,2,2,1,2,3,7,6,5,6,6,3,2,2,3,1,3,"2","2","2","3","2","3","3","3","3","2","3","3","1"
4,4,4,4,3,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,2,4,4,4,4,3,3,3,2,3,3,4,5,2,4,2,3,4,3,5,2,3,2,5,2,3,2,1,1,1,4,1,3,1,1,2,4.77014999202042,2.85539258190677,2.28462656696949,3.89621105181285,6.43736668909037,4.48597746805195,6,-0.441050536020382,6,1,1,3,2,3,2,6,4,2,4,5,5,4,4,5,5,5,5,3,3,4,3,2,2,4,1,5,2,6,3,6,2,7,2,7,4,1,4,1,2,"3","3","3","3","3","3","3","3","1","3","3","3","1"
4,5,5,5,5,5,1,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,4,3,5,5,5,5,5,3,4,2,5,4,5,5,4,5,3,3,5,4,5,2,1,4,5,4,3,1,1,1,3,2,5,4,5,1,1,5.33335394703133,2.08049392249378,1.55352359483011,-1.20863723453238,5.97436565647607,1.91991549652114,7,2.24677483320479,1,1,1,2,7,6,1,2,1,1,3,7,6,7,5,7,7,4,7,4,5,3,5,1,1,1,3,3,1,6,4,4,6,7,1,3,3,1,3,1,1,"3","3","3","3","3","3","3","3","1","3","3","3","3"
4,5,5,4,4,4,3,4,4,4,4,5,3,4,4,4,4,4,3,5,4,5,4,4,4,3,4,5,5,5,4,4,3,4,5,4,4,5,3,2,3,1,4,4,4,2,3,4,5,4,4,3,1,1,1,5,2,5,1,1,1,1,1,7,1,6,1,7,1,6,1,7,4,1,4,1,6,2,2,4,6,6,6,6,5,5,4,6,4,4,4,4,2,2,2,4,1,6,5,3,5,6,2,4,4,3,2,3,2,2,"3","1","3","1","2","1","1","3","2","1","2","1","1"
4,4,4,3,4,3,3,4,4,3,4,4,4,3,4,4,4,4,4,2,4,4,3,2,4,3,3,3,4,4,3,4,2,2,3,4,3,3,4,4,2,4,4,1,4,4,4,4,4,2,2,1,4,4,4,4,4,4,4,1,4,4,1,3,1,6,1,7,-9.80531525983151,1.2511180927751,1,1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,5,4,4,4,4,4,4,4,4,4,4,4,1,2,1,1,"3","3","3","3","3","3","3","3","1",NA,"3","3","1"
3,2,5,4,5,5,5,3,4,4,5,4,4,4,4,4,4,4,4,5,4,4,5,4,5,5,4,4,3,5,4,4,5,3,4,2,2,3,2,4,2,1,5,1,5,1,2,3,2,3,3,3,3,3,5,4,5,3,4,7,1,1,3.96730403291316,1,8.25316076057928,6,5,7,5.71104987442381,4,1,1,4,5,4,4,4,3,4,4,5,5,6,4,5,4,5,5,3,3,3,2,3,2,3,2,5,2,7,4,4,2,7,2,7,4,2,4,2,2,"3","3","3","3","3","3","3","3","3","3","3","3","3"
2,5,5,5,4,5,3,5,4,5,4,4,4,4,4,4,4,5,3,4,5,2,5,5,4,3,3,5,4,4,3,3,4,4,3,4,2,5,4,3,4,1,5,3,4,2,1,3,3,4,3,4,1,1,6,2,7,3,6,1,6,6,3,7,7,7,5,7,7,7,1,1,4,3,6,4,4,2,5,2,5,4,6,4,4,4,4,5,4,3,4,4,2,2,2,4,1,5,5,7,4,5,4,3,3,3,2,3,2,2,"3","3","3","3","2","3","3","3","3","2","3","3","3"
4,4,5,5,5,5,5,2,4,5,5,5,5,4,5,4,5,5,4,5,5,3,5,5,5,5,5,5,5,4,2,4,3,2,4,2,3,5,1,4,1,4,5,3,3,2,5,2,4,4,4,4,1,1,1,4,1,6,1,1,1,1,1,5,1,7,1,7,1,2,1,1,2,6,3,6,7,5,7,1,2,4,6,4,4,1,3,1,3,3,4,3,4,4,4,6,5,3,7,5,5,4,4,5,3,2,3,2,4,4,"3","2","3","3","3","3","3","3","1","2","2","3","1"
4,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3,4,3,4,3,3,4,4,4,3,3,3,4,4,4,3,3,4,3,3,3,3,4,3,3,4,2,3,3,3,2,2,3,3,3,3,3,3,1,3,3,3,5,3,1,3,3.86492311648158,0.802716007562022,5.02762231864194,4.99453590193023,4.51732787186508,5.70615485422005,3.93931846700207,-4.55882154614265,3,1,1,4,3,4,3,4,4,4,4,5,5,5,4,5,4,5,5,2,3,4,3,3,3,3,2,3,4,3,4,5,4,3,5,4,3,2,3,2,2,"3","3","3","3","3","3","3","3","3","3","3","3","3"
4,4,3,4,4,4,2,4,4,4,4,4,4,5,4,3,4,4,4,3,5,3,4,4,3,3,4,4,3,4,3,2,5,4,3,3,3,3,3,4,2,1,4,2,5,2,2,4,2,3,3,3,4,1,3,3,5,1,1,4,5,2.09185758416777,5.11098016101535,-1.27903138438692,6.32577614097907,6.14851233017833,9.3565654514272,1,2.77300987009728,1,1,1,4,2,4,5,1,1,3,3,4,4,6,5,5,5,4,6,3,4,4,3,3,2,2,4,3,2,5,6,5,4,5,4,3,4,1,4,1,1,"3","2","3","3","3","3","3","3","1","3","2","3","1"
3,5,4,5,3,5,3,4,3.35741065073566,5,5,5,4,4,5,4,4,5,5,3,5,4,5,4,4,2,4,5,4,5,2,2,5,1,2,3,2,4,3,4,3,1,4,1,5,1,2,2,3,2,3,1,1,1,1,3,5,1,1,1,1,1,1,1,7,5,7,6.20293155064698,-1.2562343540771,3,1,1,1,1,5,1,1,1,1,5,6,6,6,6,6,6,6,6,4,4,4,3,2,2,2,5,5,2,1,6,2,5,7,3,2,4,1,3,2,3,"3",NA,"3","3","3","3","3","3","1",NA,NA,"3","1"
5,5,5,5,5,5,4,5,4,3,5,4,5,5,4,4,5,5,5,4,5,5,4,4,5,3,4,5,4,5,4,5,3,3,4,4,4,5,3,4,2,1,4,2,5,3,4,3,3,2,1,2,1,1,2,2,4,6,1,1,1,6,7,1,2,4,4,7,3.43471822540549,1,1,1,3,1,5,3,4,4,6,4,4,4,6,5,4,6,3,6,3,4,4,4,2,3,2,5,3,4,7,5,7,5,5,5,4,4,1,2,1,3,"3","3","3","3","3","3","3","3","3","3","3","3","3"
3,1,4,5,4,4,4,5,5,4,5,5,5,5,4,4,5,4,5,3,5,3,4,5,4,3,4,5,4,5,3,3,3,4,4,3,2,5,4,4,3,3,4,3,4,3,3,5,4,1,1,1,5,4,4,5,4,5,3,3,4,6,1,6,4,5,4,-1.30176914934166,-6.77702740120936,6,1,1,1,1,2,1,6,1,1,1,6,7,6,6,7,6,4,7,3,4,3,3,3,2,2,4,3,4,3,5,4,5,3,5,4,3,2,3,2,3,"2","1","1","1","2","1","1","1","2","2","1","1","2"
4,2,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,1,4,5,4,4,4,4,4,4,4,5,4,4,4,4,2,4,4,5,1,4,4,5,5,4,4,4,4,2,2,2,6,6,3,5,6,6,5,6,6,6,6,6,3,6,3,6,-2.16027976710627,6,1,1,4,3,4,1,4,1,1,2,5,5,7,7,5,5,5,7,5,3,4,5,2,4,2,2,3,5,6,5,6,6,5,3,5,3,2,3,3,3,"1","3","3","3","3","3","3","3","3","3","3","3","1"
3,4,3,4,3,2,4,4,4,3,2,4,3,5,4,2,3,4,2,2,4,1,4,3,5,5,4,5,3,4,3,4,4,5,4,4,4,4,4,4,2,1,2,1,4,2,4,2,3,2,2,5,3,4,5,1,4,5,5,1,4,6,5,6,1,6,2,2,2,2,1,1,3,3,5,4,5,5,4,5,3,3,5,4,5,3,7,3,2,3,2,3,4,4,3,5,2,5,3,4,2,5,3,4,4,3,2,3,3,3,"2","2","2","2","3","3",NA,"1","2",NA,"2","1","1"
4,4,4,4,3.21975661064087,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,4,3,3,4,3,4,4,3,4,3,4,4,2,4,2,3,3,4,2,2,2,1,1,2,2,2,2,1,1,1,2,2,5,4,5,4,4.29257343428058,1.63374220442372,3,1,1,3,4,3,3,5,3,3,4,5,5,5,5,5,5,4,5,3,4,3,4,2,2,2,3,3,5,3,5,5,5,3,5,3,3,3,3,3,3,"3","3","3","3",NA,"3","3","3",NA,NA,NA,"3","1"
3,1,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,3,5,4,5,5,5,5,3,5,1,3,4,2,5,3,5,3,3,2,4,5,5,3,2,4,4,1,1,1,2,3,6,5,2,1,2,5,5,6.22323907404873,2.61172711864498,-0.0123777872228998,1.64351447499825,6.03887342690369,2.34896242213695,6.88757174612233,1,7,1,1,5,6,4,5,6,6,4,5,5,6,6,5,5,5,5,6,4,4,4,4,2,2,2,3,5,4,5,6,6,6,4,5,5,2,2,2,2,2,"3","3","3","3","3","3","1","3","1","3","3","1","1"
3,4,4,4,3,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,3,5,3,2,4,2,3,5,4,5,3,4,4,3,4,3,4,3,5,4,4,1,2,4,2,4,3,3,4,3,3,4,1,1,1,1,5,7,1,1,1,3.43789723074665,2.83311781830915,-0.662961090302632,4.04908921348963,4.10776875372708,5.52259259637445,7,1.7092878588905,1,1,1,4,4,5,5,4,4,4,3,5,4,6,5,5,4,6,6,3,3,3,3,3,3,4,4,6,3,4,5,3,5,6,4,3,4,1,2,2,3,"3","3","3","3",NA,"3","3","3",NA,NA,"3","3","1"
2,5,4,4,5,4,2,4,2,4,2,2,2,2,4,3,2,2,4,4,4,5,4,4,4,4,3,5,4,4,2,4,2,2,4,2,4,5,2,2,5,1,5,1,5,1,1,4,5,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,5,1,1,3,1,1,1,5,2,6,2,5,4,3,5,4,3,5,5,6,3,1,5,3,4,4,4,2,2,2,6,1,6,1,5,2,7,1,7,1,2,3,1,2,4,"3","3","3","3","2","3","3","3","1","3","3","3","2"
4,5,4,3,4,5,2.92411876442652,4.57626227792499,3,4,3,3,5,3.2684189991916,4,4,3,5,5,4,4,3,5,4,5,3,4,5,4,3,2,3,5,3,4,3,4,4,3,5,3,3,5,1,5,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7.98308569184744,1,1,1,5,5,5,5,4,4,1,5,4,4,4,4,4,3,5,4,4,4,4,3,4,4,4,5,5,2,5,5,2,4,4,4,3,3,2,3,2,2,"3","3","3","3","3","3","3","3","3","3","3","3","3"
3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,7,7,4,7,6,7,7,7,7,6.50878741453257,3.3378778533501,7,7,4.22666970005575,6.11505109744873,6,6.3630895405279,4,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3,4,4,5,7,4,5,5,4,4,5,3,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,3,4,2,4,4,4,4,3,4,5,4,4,4,3,4,4,5,3,4,3,3,4,1,1,5,4,4,4,3,4,5,4,3,3,3,3,4,4,4,1,3,1,4,1,1,4,5,4,4,4,5,1,5,1,5,6,1,1,5,4,1,4,7,4,7,7,1,7,1,1,3,4,4,4,1,5,3,3,3,3,5,3,4,3,4,6,3,1,5,3,3,1,3,2,5,4,7,5,7,5,7,5,5,4,1,4,1,1,"3","3","2","3","2","2","2","3","3","2","3","3","3"
4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,3,3,4,4,4,4,2,4,4,3,3,1,3,4,3,4,3,1,3,1,4,1,3,3,3,3,3,2,1,1,1,4,1,5,1,4,4,0.184723431259454,7.9982732296303,1.50887762492101,6.68343801260077,9.22527119858496,1.36817456902524,7,-4.78311837711656,1,1,1,5,5,4,5,6,4,6,5,3,4,6,5,5,4,4,5,1,1,3,1,5,5,5,1,6,2,2,2,6,1,7,6,6,4,1,4,1,1,"3",NA,"3","3",NA,"3","3","3","1",NA,NA,"3","3"
3,4,4,4,4,3,4,4,2,3,3,2,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,5,4,4,3,3,4,4,4,3,4,5,3,4,3,3,4,3,5,2,4,2,3,3,3,1,1,2,6,3,7,7,2,2,5,6,4,5,6,5,4,7,6,6,1,1,2,2,4,5,3,2,2,2,4,5,4,5,3,5,4,5,3,3,4,3,2,3,2,3,3,5,5,2,4,4,4,5,3,3,1,3,1,2,"3","2","3","3","3","3","3","3","1","2","3","3","3"
4,5,5,4,5,5,4,4,2,2,2,5,4,2,1,2,3,2,5,5,5,5,4,3,5,2,4,1,2,4,2,2,4,2,2,1,2,4,4,4,4,1,2,1,4,1,2,2,5,3,2,2,1,4,1,1,4,5,1,1,1,2.03564351742281,-2.00632636960741,1.20580327187598,9.08277524462593,5.18467256344691,10.7557056116251,4.52845574326672,-2.92260535383519,1,1,1,5,3,5,2,5,5,6,5,3,4,2,2,5,2,3,6,2,2,4,4,2,2,4,2,5,5,6,2,6,6,5,6,1,4,1,2,1,3,"3","2","3","3","3","1","3","3","1","3","2","3","1"
2,5,5,5,5,4,2,4,5,3,3,4,4,4,5,4,3,5,5,5,4,2,5,5,4,4,5,4,5,2,4,5,4,5,3,3,4,5,2,2,4,2,4,2,4,2,2,4,3,1,3,2,1,1,1,2,2,1,1,1,6,2,3,1,3,7,2,7,6.50972824306831,1,1,1,5,3,6,4,5,5,5,5,3,4,5,5,4,5,3,4,3,4,2,5,1,1,1,5,2,5,1,6,2,6,3,5,2,3,1,2,2,3,"3",NA,"3","3","3","3","3","3","1","3",NA,"3","1"
3,5,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,3,3,4,3,4,4,3,2,4,5,4,4,4,4,4,4,3,3,4,4,3,4,3,5.2242783711728,5,3,4,2,1,4,5,3,3,3,4,1,3,5,4,5,3,4,4,5.35173637267007,0.240989732567139,3.49462764742138,1.02603956341823,6.75347040730899,1.51554104086632,2.22240971549867,0.573279300268335,5,1,1,4,3,3,3,2,3,2,2,5,5,6,6,5,5,5,5,3,4,4,3,2,2,2,2,2,4,5,3,5,4,5,5,4,2,3,3,2,3,"2","2","3","3","3","1",NA,"3","1","2","2","3","1"
4,4,4,3,4,4,2,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,2,4,4,4,4,3,3,2,2,3,3,2,4,4,3,2,2,3,2,3,2,2,3,2,2,2,2,1,1,1,2,3,1,1,7,2,5,1,1,1,5,5,5.59805891079329,-5.02087004010918,2,1,1,5,4,5,4,2,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,3,2,2,2,5,6,6,3,6,6,6,2,5,3,2,3,2,2,"3","3","3","3","3","3","3","3","1","3","3","3","1"
4,5,4,5,5,4,4,5,4,5,4,4,5,4,5,4,4,4,5,5,5,5,4,4,4,4,4,5,5,5,5,4,2,5,4,3,4,5,4,5,4,3,4,3,4,2,3,4,4,3,3,4,6,2,6,5,4,5,4,4,5,4,2,5,1,4,2,7,7.12704531924714,6,1,1,2,2,4,1,5,2,2,3,6,6,7,5,7,6,4,7,3,4,4,4,2,2,2,3,2,5,3,5,5,6,5,6,3,2,3,2,3,3,"3","3","3","3","3","2","3","3","2","2","2","3","2"
4,5,4,4,4,4,4,4,4,3,4,4,4,3,4,2,4,4,5,3,5,4,5,4,5,2,4,4,4,4,2,2,4,3,4,3,4,5,3,4,3,2,5,2,5,2,3,3,4,3,3,3,2,1,5,4,4,2,1,1,4,1,5,1,5,6,5,7,6,3,1,1,4,3,5,5,6,5,4,3,3,3,6,4,5,5,4,5,4,3,4,4,2,2,2,2,3,5,6,5,6,5,5,5,3,2,2,2,2,3,"3","3","3","3",NA,"3","3","3","1","3","3","3","3"
4,4,4,3,4,4,4,4,4,5,4,4,4,5,4,4,4,5,5,4,5,5,4,4,4,4,4,4,5,5,4,4,5,4,4,3,4,5,4,4,4,3,4,4,5,4,1,4,4,1,1,1,7,1,5,5,1,5,5,7,7,2.18942322995742,12.509360903313,5.41749534421484,7,7.32331186484789,7,1,6,6,1,1,4,2,4,5,5,3,3,3,5,5,6,5,5,5,5,6,4,3,3,4,2,2,2,1,3,7,5,1,7,5,7,3,7,4,1,4,1,3,"3","3","3","3","3","3","3","3","1","3","3","3","3"
3,4,3,4,4,3,3,4,3.11856820464738,3,2,4,3,4,4,3,3,3,4,3,4,4,3,3,4,2,2.57145229076048,3,3,4,2,3,2,3,3,3,3,4,3,2,3,2,3,2,2,2,2,3,4,2,2,4,5,1,3,4,3,2,1,1,2,1,1,1,1,5,2,7,10.3525320967639,2,1,1,5,4,6,5,4,6,4,5,5,4,6,3,4,4,3,6,2,4,3,3,3,2,3,3,3,3,5,3,4,4,5,4,4,3,3,3,2,2,"3","2","3","2","2","3","3","3",NA,"2","2","3","2"
5,5,4,4,4,5,5,4,4,5,5,5,5,5,4,4,5,4,5,4,5,3,5,5,5,1,5,5,4,5,3,3,3,3,5,5,3,5,3,5,5,5,5,3,5,3,5,3,4,1,1,1,1,1,7,3,1,7,1,1,4,1.88909918518217,6.82077358718757,5.76783652684763,3.07241388165905,5.11384423859202,4.03928505928424,7,1,5,1,1,5,4,4,4,6,5,5,5,7,4,6,6,6,6,4,4,3,3,4,4,3,3,4,5,4,5,1,5,1,4,4,5,2,1,1,2,1,1,"3",NA,"3","3",NA,"3","3","3","3","3","3","3","3"
5,2,5,5,4,4,5,5,4,5,4,5,3,4,4,4,4,3,4,4,5,5,4,3,4,5,4,5,5,5,4,5,4,4,4,3,2,5,4,4,4,2,4,3,5,4,3,4,5,2,2,2,6,6,4,3,4,5,6,2,5,-0.395636154213172,0.332811023308128,1.63202044809682,5.35786402485829,-0.654041056167281,5.93952506623764,5,4,2,1,1,4,5,4,4,4,5,3,4,3,5,5,3,3,4,5,6,3,4,3,4,2,2,3,5,2,5,2,6,2,5,3,3,2,2,3,2,3,3,"3","3","3","3",NA,"3","3","3",NA,"2","3","3",NA
3,4,5,4,4,4,3,4,4,4,4,2,4,3,5,3,4,2,4,2,5,5,5,4,3,2,3,4,4,4,2,3,1,4,4,2,3,5,2,4,3,2,4,1,4,1,1,2,3,4,2,4,1,1,1,3,1,5,5,1,1,7,1,1,1,7,1,7,3,1,1,1,5,4,6,4,4,4,2,4,4,3,5,4,5,3,1,5,1,4,5,4,2,2,2,1,1,1,7,2,6,6,7,1,7,4,1,4,3,3,"3","3","3","3","3","3","3","3","1","3","3","3","3"
3,5,3,4,3,4,3,5,5,5,5,5,4,4,5,5,5,4,5,3,5,3,5,3,3,4,5,5,4,5,5,5,5,3,5,3,4,4,4,4,3,1,4,2,5,3,1,5,5,1,1,1,4,1,5,4,5,7,4,1,5,2.95362935291637,8.27755659199627,2.64266743984888,3.64137756327744,3.01588591486631,5.2168635974013,7,4.05676556762961,4,1,1,4,2,4,3,5,1,4,2,5,5,6,5,5,3,6,7,4,3,4,3,3,2,2,3,4,4,6,5,6,4,6,3,3,2,3,2,1,2,"3","3","3","3","3","3","3","3","1","2","3","3","1"
2,4,4,4,4,5,3,4,3,3,3,4,3,4,4,4,4,4,4,3,4,3,4,4,4,3,3,4,4,4,3,4,3,3,4,3,3,4,4,3,3,1,3,3,3,2,4,3,4,3,3,3,4,2,3,3,5,5,4,1,7,4,5,3,1,6,2,7,2.08882780228935,6,1,1,4,4,4,4,6,3,3,4,5,5,5,5,5,5,3,5,3,3,3,2,4,2,4,1,5,3,2,5,2,2,6,2,5,3,2,3,2,3,"3","2","3","3","3","3","3","3","1","2","3","3","2"
4,4,4,5,4,4,5,5,5,5,5,5,5,5,4,4,5,4,4,3,5,5,4,5,4,2,5,5,4,5,4,4,4,3,4,4,4,5,3,4,2,4,5,3,5,2,3,3,3,2,2,1,1,1,5,4,3,3,1,4,4,4,4,4,4,4,5,6,1,6,1,7,2,1,2,4,3,2,1,3,7,7,7,6,7,5,3,5,4,5,4,4,2,2,4,5,1,5,2,6,6,5,6,7,4,3,1,3,1,2,"3","3","3","3","3","2","3","3","1","2","2","3","3"
